airport_id,iata_code,airport_name,city,region_code,latitude,longitude,altitude,timezone_offset,timezone_dst,timezone_region
150,YCU,Yuncheng Guangong Airport,Yuncheng,CN,35.116391,111.031389,1242.0,8,N,Asia/Shanghai
151,JGN,Jiayuguan Airport,Jiayuguan,CN,39.856899,98.3414,5112.0,8,N,Asia/Shanghai
152,DDG,Dandong Airport,Dandong,CN,40.0247,124.286003,30.0,8,N,Asia/Shanghai
153,DSN,Ordos Ejin Horo Airport,Dongsheng,CN,39.49,109.861389,4557.0,8,N,Asia/Shanghai
154,PZI,Bao'anying Airport,Panzhihua,CN,26.54,101.79852,1620.0,8,N,Asia/Shanghai
155,HMI,Hami Airport,Hami,CN,42.8414,93.669197,2703.0,8,U,Asia/Shanghai
156,WUZ,Wuzhou Changzhoudao Airport,Wuzhou,CN,23.456699,111.248001,89.0,8,U,Asia/Shanghai
157,TCG,Tacheng Airport,Tacheng,CN,46.672501,83.340797,0.0,8,U,Asia/Shanghai
158,CHG,Chaoyang Airport,Chaoyang,CN,41.538101,120.434998,568.0,8,U,Asia/Shanghai
159,OHE,Gu-Lian Airport,Mohe County,CN,52.912778,122.43,1836.0,8,U,Asia/Shanghai
160,JNG,Jining Qufu Airport,Jining,CN,35.292778,116.346667,134.0,8,U,Asia/Shanghai
161,AAT,Altay Air Base,Altay,CN,47.749886,88.085808,2460.0,8,U,Asia/Shanghai
162,NZH,Manzhouli Xijiao Airport,Manzhouli,CN,49.566667,117.33,2231.0,8,U,Asia/Shanghai
163,WUA,Wuhai Airport,Wuhai,CN,39.7934,106.7993,3650.0,8,U,Asia/Shanghai
164,TEN,Tongren Fenghuang Airport,Tongren,CN,27.883333,109.308889,0.0,8,U,Asia/Shanghai
165,FUO,Foshan Shadi Airport,Foshan,CN,23.0833,113.07,6.0,8,N,Asia/Shanghai
166,FUG,Fuyang Xiguan Airport,Fuyang,CN,32.882157,115.734364,104.0,8,U,Asia/Shanghai
167,LCX,Longyan Guanzhishan Airport,Longyan,CN,25.6747,116.747002,1225.0,8,U,Asia/Shanghai
168,BSD,Baoshan Yunduan Airport,Baoshan,CN,25.053301,99.168297,5453.0,8,U,Asia/Shanghai
169,ACX,Xingyi Airport,Xingyi,CN,25.086389,104.959444,4150.0,8,U,Asia/Shanghai
170,HZH,Liping Airport,Liping,CN,26.32217,109.1499,1620.0,8,U,Asia/Shanghai
171,HJJ,Zhijiang Airport,Zhijiang,CN,27.441111,109.7,882.0,8,U,Asia/Shanghai
172,LNJ,Lintsang Airfield,Lincang,CN,23.7381,100.025002,6230.0,8,U,Asia/Shanghai
173,TCZ,Tengchong Tuofeng Airport,Tengchong,CN,24.938056,98.485833,6250.0,8,N,Asia/Shanghai
174,YUS,Yushu Batang Airport,Yushu,CN,32.836389,97.036389,12816.0,8,U,Asia/Shanghai
175,HIA,Lianshui Airport,Huai An,CN,33.790833,119.125,28.0,8,N,Asia/Shanghai
176,NGQ,Ngari Gunsa Airport,Shiquanhe,CN,32.1,80.053056,14022.0,8,N,Asia/Shanghai
177,,Mackenzie Airport,Mackenzie British Columbia,CA,55.304402,-123.132004,2264.0,-8,A,America/Vancouver
178,ZHY,Zhongwei Shapotou Airport,Zhongwei,CN,37.573125,105.154454,8202.0,8,N,Asia/Shanghai
179,AEB,Baise Youjiang Airport,Baise,CN,23.7206,106.959999,490.0,8,N,Asia/Shanghai
180,HDG,Handan Airport,Handan,CN,36.525833,114.425556,229.0,8,N,Asia/Shanghai
181,JXA,Jixi Xingkaihu Airport,Jixi,CN,45.293,131.193,760.0,8,N,Asia/Shanghai
182,RLK,Bayannur Tianjitai Airport,Bayannur,CN,40.926,107.7428,3400.0,8,U,Asia/Shanghai
183,JIQ,Qianjiang Wulingshan Airport,Qianjiang,CN,29.513333,108.831111,2075.0,8,N,Asia/Shanghai
184,NBS,Changbaishan Airport,Baishan,CN,42.066944,127.602222,2874.0,8,N,Asia/Shanghai
185,LLF,Lingling Airport,Yongzhou,CN,26.338661,111.610043,340.0,8,U,Asia/Shanghai
186,YTY,Yangzhou Taizhou Airport,Yangzhou,CN,32.5634,119.7198,7.0,8,N,Asia/Shanghai
187,KGT,Kangding Airport,Kangding,CN,30.1575,101.734722,14042.0,8,N,Asia/Shanghai
188,JGD,Jiagedaqi Airport,Jiagedaqi District,CN,50.371389,124.1175,1205.0,8,N,Asia/Shanghai
189,BFJ,Bijie Feixiong Airport,Bijie,CN,27.267066,105.472097,4751.0,8,N,Asia/Shanghai
190,YIC,Yichun Mingyueshan Airport,Yichun,CN,27.8025,114.3062,430.0,8,U,Asia/Shanghai
191,DCY,Daocheng Yading Airport,Daocheng,CN,29.323056,100.053333,14472.0,8,N,Asia/Shanghai
192,GXH,Gannan Xiahe Airport,Xiahe city,CN,34.8105,102.6447,10510.0,8,N,Asia/Shanghai
193,NLT,Xinyuan Nalati Airport,Xinyuan,CN,43.4318,83.3786,3050.0,8,U,Asia/Shanghai
194,JUH,Jiuhuashan Airport,Chizhou,CN,30.7403,117.6856,60.0,8,N,Asia/Shanghai
195,AOG,Anshan Air Base,Anshan,CN,41.105301,122.853996,0.0,8,N,Asia/Shanghai
196,DQA,Saertu Airport,Daqing,CN,46.746389,125.140556,496.0,8,N,Asia/Shanghai
197,ZYI,Zunyi Xinzhou Airport,Zunyi,CN,27.5895,107.0007,2920.0,8,N,Asia/Shanghai
198,LDS,Lindu Airport,Yinchun,CN,47.752056,129.019125,791.0,8,N,Asia/Shanghai
199,AVA,Anshun Huangguoshu Airport,Anshun,CN,26.260556,105.873333,4812.0,8,N,Asia/Shanghai
200,ERL,Erenhot Saiwusu International Airport,Erenhot,CN,43.4225,112.096667,3301.0,8,N,
201,ZQZ,Zhangjiakou Ningyuan Airport,Zhangjiakou,CN,40.738602,114.93,2347.0,8,N,
202,YIE,Arxan Yi'ershi Airport,Arxan,CN,47.3106,119.9117,2925.0,8,N,
203,JIC,Jinchuan Airport,Jinchuan,CN,38.542222,102.348333,4740.0,8,U,
204,BPL,Alashankou Bole (Bortala) airport,Bole,CN,44.895,82.3,1253.0,8,N,
205,JGS,Ji'an Jinggangshan Airport,Jian,CN,26.856899,114.737,86.0,8,N,Asia/Shanghai
206,LLB,Qiannan Libo Airport,Libo,CN,25.4525,107.961667,,8,N,Asia/Shanghai
207,YZY,Zhangye Ganzhou Airport,Zhangye,CN,38.801899,100.675003,1609.0,8,N,Asia/Shanghai
